Time,Power
0,1479443.32
1,1479443.32
2,1479443.32
3,1479443.32
4,1479443.32
5,1479443.32
6,1479443.32
7,1479443.32
8,1479443.32
9,1479443.32
10,1479443.32
11,1479443.32
12,1479443.32
13,1479443.32
14,1479443.32
15,1479443.32
16,1479443.32
17,1479443.32
18,1479443.32
19,1479443.32
20,1479443.32
21,1479443.32
22,1479443.32
23,1479443.32
24,1479443.32
25,1479443.32
26,1479443.32
27,1479443.32
28,1479443.32
29,1479443.32
30,1479443.32
31,1479443.32
32,1479443.32
33,1479443.32
34,1479443.32
35,1479443.32
36,1479443.32
37,1479443.32
38,1479443.32
39,1479443.32
40,1479443.32
41,1479443.32
42,1479443.32
43,1479443.32
44,1479443.32
45,1479443.32
46,1479443.32
47,1479443.32
48,1479443.32
49,1479443.32
50,1479443.32
51,1479443.32
52,1479443.32
53,1479443.32
54,1479443.32
55,1479443.32
56,1479443.32
57,1479443.32
58,1479443.32
59,1479443.32
60,1479443.32
61,1479443.32
62,1479443.32
63,1479443.32
64,1479443.32
65,1479443.32
66,1479443.32
67,1479443.32
68,1479443.32
69,1479443.32
70,1479443.32
71,1479443.32
72,1479443.32
73,1479443.32
74,1479443.32
75,1479443.32
76,1479443.32
77,1479443.32
78,1479443.32
79,1479443.32
80,1479443.32
81,1479443.32
82,1479443.32
83,1479443.32
84,1479443.32
85,1479443.32
86,1479443.32
87,1479443.32
88,1479443.32
89,1479443.32
90,1479443.32
91,1479443.32
92,1479443.32
93,1479443.32
94,1479443.32
95,1479443.32
96,1479443.32
97,1479443.32
98,1479443.32
99,1479443.32
100,1479443.32
101,1479443.32
102,1479443.32
103,1479443.32
104,1479443.32
105,1479443.32
106,1479443.32
107,1479443.32
108,1479443.32
109,1479443.32
110,1479443.32
111,1479443.32
112,1479443.32
113,1479443.32
114,1479443.32
115,1479443.32
116,1479443.32
117,1479443.32
118,1479443.32
119,1479443.32
119.44,760215.8
120.44,760215.8
121.44,760215.8
122.44,760215.8
123.44,760215.8
124.44,760215.8
125.44,760215.8
126.44,760215.8
127.44,760215.8
128.44,760215.8
129.44,760215.8
130.44,760215.8
131.44,760215.8
132.44,760215.8
133.44,760215.8
134.44,760215.8
135.44,760215.8
136.44,760215.8
137.44,760215.8
138.44,760215.8
139.44,760215.8
140.44,760215.8
141.44,760215.8
142.44,760215.8
143.44,760215.8
144.44,760215.8
145.44,760215.8
146.44,760215.8
147.44,760215.8
148.44,760215.8
149.44,760215.8
150.44,760215.8
151.44,760215.8
152.44,760215.8
153.44,760215.8
154.44,760215.8
155.44,760215.8
156.44,760215.8
157.44,760215.8
158.44,760215.8
159.44,760215.8
160.44,760215.8
161.44,760215.8
162.44,760215.8
163.44,760215.8
164.44,760215.8
165.44,760215.8
166.44,760215.8
167.44,760215.8
168.44,760215.8
169.44,760215.8
170.44,760215.8
171.44,760215.8
172.44,760215.8
173.44,760215.8
174.44,760215.8
175.44,760215.8
176.44,760215.8
177.44,760215.8
178.44,760215.8
179.44,760215.8
180.44,760215.8
181.44,760215.8
182.44,760215.8
183.44,760215.8
184.44,760215.8
185.44,760215.8
186.44,760215.8
187.44,760215.8
188.44,760215.8
189.44,760215.8
190.44,760215.8
191.44,760215.8
192.44,760215.8
193.44,760215.8
194.44,760215.8
195.44,760215.8
196.44,760215.8
197.44,760215.8
198.44,760215.8
199.44,760215.8
200.44,760215.8
201.44,760215.8
202.44,760215.8
203.44,760215.8
204.44,760215.8
205.44,760215.8
206.44,760215.8
207.44,760215.8
208.44,760215.8
209.44,760215.8
210.44,760215.8
211.44,760215.8
212.44,760215.8
213.44,760215.8
214.44,760215.8
215.44,760215.8
216.44,760215.8
217.44,760215.8
218.44,760215.8
219.44,760215.8
220.44,760215.8
221.44,760215.8
222.44,760215.8
223.44,760215.8
224.44,760215.8
225.44,760215.8
226.44,760215.8
227.44,760215.8
228.44,760215.8
229.44,760215.8
230.44,760215.8
231.44,760215.8
232.44,760215.8
233.44,760215.8
234.44,760215.8
235.44,760215.8
236.44,760215.8
237.44,760215.8
238.44,760215.8
239.44,760215.8
240.44,760215.8
241.44,760215.8
242.44,760215.8
243.44,760215.8
244.44,760215.8
245.44,760215.8
246.44,760215.8
247.44,760215.8
248.44,760215.8
249.44,760215.8
250.44,760215.8
251.44,760215.8
252.44,760215.8
253.44,760215.8
254.44,760215.8
255.44,760215.8
256.44,760215.8
257.44,760215.8
258.44,760215.8
259.44,760215.8
260.44,760215.8
261.44,760215.8
262.44,760215.8
263.44,760215.8
264.44,760215.8
265.44,760215.8
266.44,760215.8
267.44,760215.8
268.44,760215.8
269.44,760215.8
270.44,760215.8
271.44,760215.8
272.44,760215.8
273.44,760215.8
274.44,760215.8
275.44,760215.8
276.44,760215.8
277.44,760215.8
278.44,760215.8
279.44,760215.8
280.44,760215.8
281.44,760215.8
282.44,760215.8
283.44,760215.8
284.44,760215.8
285.44,760215.8
286.44,760215.8
287.44,760215.8
288.44,760215.8
289.44,760215.8
290.44,760215.8
291.44,760215.8
292.44,760215.8
293.44,760215.8
294.44,760215.8
295.44,760215.8
296.44,760215.8
297.44,760215.8
298.44,760215.8
299.44,760215.8
300.44,760215.8
301.44,760215.8
302.44,760215.8
303.44,760215.8
304.44,760215.8
305.44,760215.8
306.44,760215.8
307.44,760215.8
308.44,760215.8
309.44,760215.8
310.44,760215.8
311.44,760215.8
312.44,760215.8
313.44,760215.8
314.44,760215.8
315.44,760215.8
316.44,760215.8
317.44,760215.8
318.44,760215.8
319.44,760215.8
320.44,760215.8
321.44,760215.8
322.44,760215.8
323.44,760215.8
324.44,760215.8
325.44,760215.8
326.44,760215.8
327.44,760215.8
328.44,760215.8
329.44,760215.8
330.44,760215.8
331.44,760215.8
332.44,760215.8
333.44,760215.8
334.44,760215.8
335.44,760215.8
336.44,760215.8
337.44,760215.8
338.44,760215.8
339.44,760215.8
340.44,760215.8
341.44,760215.8
342.44,760215.8
343.44,760215.8
344.44,760215.8
345.44,760215.8
346.44,760215.8
347.44,760215.8
348.44,760215.8
349.44,760215.8
350.44,760215.8
351.44,760215.8
352.44,760215.8
353.44,760215.8
354.44,760215.8
355.44,760215.8
356.44,760215.8
357.44,760215.8
358.44,760215.8
359.44,760215.8
360.44,760215.8
361.44,760215.8
362.44,760215.8
363.44,760215.8
364.44,760215.8
365.44,760215.8
366.44,760215.8
367.44,760215.8
368.44,760215.8
369.44,760215.8
370.44,760215.8
371.44,760215.8
372.44,760215.8
373.44,760215.8
374.44,760215.8
375.44,760215.8
376.44,760215.8
377.44,760215.8
378.44,760215.8
379.44,760215.8
380.44,760215.8
381.44,760215.8
382.44,760215.8
383.44,760215.8
384.44,760215.8
385.44,760215.8
386.44,760215.8
387.44,760215.8
388.44,760215.8
389.44,760215.8
390.44,760215.8
391.44,760215.8
392.44,760215.8
393.44,760215.8
394.44,760215.8
395.44,760215.8
396.44,760215.8
397.44,760215.8
398.44,760215.8
399.44,760215.8
400.44,760215.8
401.44,760215.8
402.44,760215.8
403.44,760215.8
404.44,760215.8
405.44,760215.8
406.44,760215.8
407.44,760215.8
408.44,760215.8
409.44,760215.8
410.44,760215.8
411.44,760215.8
412.44,760215.8
413.44,760215.8
414.44,760215.8
415.44,760215.8
416.44,760215.8
417.44,760215.8
418.44,760215.8
419.44,760215.8
420.44,760215.8
421.44,760215.8
422.44,760215.8
423.44,760215.8
424.44,760215.8
425.44,760215.8
426.44,760215.8
427.44,760215.8
428.44,760215.8
429.44,760215.8
430.44,760215.8
431.44,760215.8
432.44,760215.8
433.44,760215.8
434.44,760215.8
435.44,760215.8
436.44,760215.8
437.44,760215.8
438.44,760215.8
439.44,760215.8
440.44,760215.8
441.44,760215.8
442.44,760215.8
443.44,760215.8
444.44,760215.8
445.44,760215.8
446.44,760215.8
447.44,760215.8
448.44,760215.8
449.44,760215.8
450.44,760215.8
451.44,760215.8
452.44,760215.8
453.44,760215.8
454.44,760215.8
455.44,760215.8
456.44,760215.8
457.44,760215.8
458.44,760215.8
459.44,760215.8
460.44,760215.8
461.44,760215.8
462.44,760215.8
463.44,760215.8
464.44,760215.8
465.44,760215.8
466.44,760215.8
467.44,760215.8
468.44,760215.8
469.44,760215.8
470.44,760215.8
471.44,760215.8
472.44,760215.8
473.44,760215.8
474.44,760215.8
475.44,760215.8
476.44,760215.8
477.44,760215.8
478.44,760215.8
479.44,760215.8
480.44,760215.8
481.44,760215.8
482.44,760215.8
483.44,760215.8
484.44,760215.8
485.44,760215.8
486.44,760215.8
487.44,760215.8
488.44,760215.8
489.44,760215.8
490.44,760215.8
491.44,760215.8
492.44,760215.8
493.44,760215.8
494.44,760215.8
495.44,760215.8
496.44,760215.8
497.44,760215.8
498.44,760215.8
499.44,760215.8
500.44,760215.8
501.44,760215.8
502.44,760215.8
503.44,760215.8
504.44,760215.8
505.44,760215.8
506.44,760215.8
507.44,760215.8
508.44,760215.8
509.44,760215.8
510.44,760215.8
511.44,760215.8
512.44,760215.8
513.44,760215.8
514.44,760215.8
515.44,760215.8
516.44,760215.8
517.44,760215.8
518.44,760215.8
519.44,760215.8
520.44,760215.8
521.44,760215.8
522.44,760215.8
523.44,760215.8
524.44,760215.8
525.44,760215.8
526.44,760215.8
527.44,760215.8
528.44,760215.8
529.44,760215.8
530.44,760215.8
531.44,760215.8
532.44,760215.8
533.44,760215.8
534.44,760215.8
535.44,760215.8
536.44,760215.8
537.44,760215.8
538.44,760215.8
539.44,760215.8
540.44,760215.8
541.44,760215.8
542.44,760215.8
543.44,760215.8
544.44,760215.8
545.44,760215.8
546.44,760215.8
547.44,760215.8
548.44,760215.8
549.44,760215.8
550.44,760215.8
551.44,760215.8
552.44,760215.8
553.44,760215.8
554.44,760215.8
555.44,760215.8
556.44,760215.8
557.44,760215.8
558.44,760215.8
559.44,760215.8
560.44,760215.8
561.44,760215.8
562.44,760215.8
563.44,760215.8
564.44,760215.8
565.44,760215.8
566.44,760215.8
567.44,760215.8
568.44,760215.8
569.44,760215.8
570.44,760215.8
571.44,760215.8
572.44,760215.8
573.44,760215.8
574.44,760215.8
575.44,760215.8
576.44,760215.8
577.44,760215.8
578.44,760215.8
579.44,760215.8
580.44,760215.8
581.44,760215.8
582.44,760215.8
583.44,760215.8
584.44,760215.8
585.44,760215.8
586.44,760215.8
587.44,760215.8
588.44,760215.8
589.44,760215.8
590.44,760215.8
591.44,760215.8
592.44,760215.8
593.44,760215.8
594.44,760215.8
595.44,760215.8
596.44,760215.8
597.44,760215.8
598.44,760215.8
599.44,760215.8
600.44,760215.8
601.44,760215.8
602.44,760215.8
603.44,760215.8
604.44,760215.8
605.44,760215.8
606.44,760215.8
607.44,760215.8
608.44,760215.8
609.44,760215.8
610.44,760215.8
611.44,760215.8
612.44,760215.8
613.44,760215.8
614.44,760215.8
615.44,760215.8
616.44,760215.8
617.44,760215.8
618.44,760215.8
619.44,760215.8
620.44,760215.8
621.44,760215.8
622.44,760215.8
623.44,760215.8
624.44,760215.8
625.44,760215.8
626.44,760215.8
627.44,760215.8
628.44,760215.8
629.44,760215.8
630.44,760215.8
631.44,760215.8
632.44,760215.8
633.44,760215.8
634.44,760215.8
635.44,760215.8
636.44,760215.8
637.44,760215.8
638.44,760215.8
639.44,760215.8
640.44,760215.8
641.44,760215.8
642.44,760215.8
643.44,760215.8
644.44,760215.8
645.44,760215.8
646.44,760215.8
647.44,760215.8
648.44,760215.8
649.44,760215.8
650.44,760215.8
651.44,760215.8
652.44,760215.8
653.44,760215.8
654.44,760215.8
655.44,760215.8
656.44,760215.8
657.44,760215.8
658.44,760215.8
659.44,760215.8
660.44,760215.8
661.44,760215.8
662.44,760215.8
663.44,760215.8
664.44,760215.8
665.44,760215.8
666.44,760215.8
667.44,760215.8
668.44,760215.8
669.44,760215.8
670.44,760215.8
671.44,760215.8
672.44,760215.8
673.44,760215.8
674.44,760215.8
675.44,760215.8
676.44,760215.8
677.44,760215.8
678.44,760215.8
679.44,760215.8
680.44,760215.8
681.44,760215.8
682.44,760215.8
683.44,760215.8
684.44,760215.8
685.44,760215.8
686.44,760215.8
687.44,760215.8
688.44,760215.8
689.44,760215.8
690.44,760215.8
691.44,760215.8
692.44,760215.8
693.44,760215.8
694.44,760215.8
695.44,760215.8
696.44,760215.8
697.44,760215.8
698.44,760215.8
699.44,760215.8
700.44,760215.8
701.44,760215.8
702.44,760215.8
703.44,760215.8
704.44,760215.8
705.44,760215.8
706.44,760215.8
707.44,760215.8
708.44,760215.8
709.44,760215.8
710.44,760215.8
711.44,760215.8
712.44,760215.8
713.44,760215.8
714.44,760215.8
715.44,760215.8
716.44,760215.8
717.44,760215.8
718.44,760215.8
719.44,760215.8
720.44,760215.8
721.44,760215.8
722.44,760215.8
723.44,760215.8
724.44,760215.8
725.44,760215.8
726.44,760215.8
727.44,760215.8
728.44,760215.8
729.44,760215.8
730.44,760215.8
731.44,760215.8
732.44,760215.8
733.44,760215.8
734.44,760215.8
735.44,760215.8
736.44,760215.8
737.44,760215.8
738.44,760215.8
739.44,760215.8
740.44,760215.8
741.44,760215.8
742.44,760215.8
743.44,760215.8
744.44,760215.8
745.44,760215.8
746.44,760215.8
747.44,760215.8
748.44,760215.8
749.44,760215.8
750.44,760215.8
751.44,760215.8
752.44,760215.8
753.44,760215.8
754.44,760215.8
755.44,760215.8
756.44,760215.8
757.44,760215.8
758.44,760215.8
759.44,760215.8
760.44,760215.8
761.44,760215.8
762.44,760215.8
763.44,760215.8
764.44,760215.8
765.44,760215.8
766.44,760215.8
767.44,760215.8
768.44,760215.8
769.44,760215.8
770.44,760215.8
771.44,760215.8
772.44,760215.8
773.44,760215.8
774.44,760215.8
775.44,760215.8
776.44,760215.8
777.44,760215.8
778.44,760215.8
779.44,760215.8
780.44,760215.8
781.44,760215.8
782.44,760215.8
783.44,760215.8
784.44,760215.8
785.44,760215.8
786.44,760215.8
787.44,760215.8
788.44,760215.8
789.44,760215.8
790.44,760215.8
791.44,760215.8
792.44,760215.8
793.44,760215.8
794.44,760215.8
795.44,760215.8
796.44,760215.8
797.44,760215.8
798.44,760215.8
799.44,760215.8
800.44,760215.8
801.44,760215.8
802.44,760215.8
803.44,760215.8
804.44,760215.8
805.44,760215.8
806.44,760215.8
807.44,760215.8
808.44,760215.8
809.44,760215.8
810.44,760215.8
811.44,760215.8
812.44,760215.8
813.44,760215.8
814.44,760215.8
815.44,760215.8
816.44,760215.8
817.44,760215.8
818.44,760215.8
819.44,760215.8
820.44,760215.8
821.44,760215.8
822.44,760215.8
823.44,760215.8
824.44,760215.8
825.44,760215.8
826.44,760215.8
827.44,760215.8
828.44,760215.8
829.44,760215.8
830.44,760215.8
831.44,760215.8
832.44,760215.8
833.44,760215.8
834.44,760215.8
835.44,760215.8
836.44,760215.8
837.44,760215.8
838.44,760215.8
839.44,760215.8
840.44,760215.8
841.44,760215.8
842.44,760215.8
843.44,760215.8
844.44,760215.8
845.44,760215.8
846.44,760215.8
847.44,760215.8
848.44,760215.8
849.44,760215.8
850.44,760215.8
851.44,760215.8
852.44,760215.8
853.44,760215.8
854.44,760215.8
855.44,760215.8
856.44,760215.8
857.44,760215.8
858.44,760215.8
859.44,760215.8
860.44,760215.8
861.44,760215.8
862.44,760215.8
863.44,760215.8
864.44,760215.8
865.44,760215.8
866.44,760215.8
867.44,760215.8
868.44,760215.8
869.44,760215.8
870.44,760215.8
871.44,760215.8
872.44,760215.8
873.44,760215.8
874.44,760215.8
875.44,760215.8
876.44,760215.8
877.44,760215.8
878.44,760215.8
879.44,760215.8
880.44,760215.8
881.44,760215.8
882.44,760215.8
883.44,760215.8
884.44,760215.8
885.44,760215.8
886.44,760215.8
887.44,760215.8
888.44,760215.8
889.44,760215.8
890.44,760215.8
891.44,760215.8
892.44,760215.8
893.44,760215.8
894.44,760215.8
895.44,760215.8
896.44,760215.8
897.44,760215.8
898.44,760215.8
899.44,760215.8
900.44,760215.8
901.44,760215.8
902.44,760215.8
903.44,760215.8
904.44,760215.8
905.44,760215.8
906.44,760215.8
907.44,760215.8
908.44,760215.8
909.44,760215.8
910.44,760215.8
911.44,760215.8
912.44,760215.8
913.44,760215.8
914.44,760215.8
915.44,760215.8
916.44,760215.8
917.44,760215.8
918.44,760215.8
919.44,760215.8
920.44,760215.8
921.44,760215.8
922.44,760215.8
923.44,760215.8
924.44,760215.8
925.44,760215.8
926.44,760215.8
927.44,760215.8
928.44,760215.8
929.44,760215.8
930.44,760215.8
931.44,760215.8
932.44,760215.8
933.44,760215.8
934.44,760215.8
935.44,760215.8
936.44,760215.8
937.44,760215.8
938.44,760215.8
939.44,760215.8
940.44,760215.8
941.44,760215.8
942.44,760215.8
943.44,760215.8
944.44,760215.8
945.44,760215.8
946.44,760215.8
947.44,760215.8
948.44,760215.8
949.44,760215.8
950.44,760215.8
951.44,760215.8
952.44,760215.8
953.44,760215.8
954.44,760215.8
955.44,760215.8
956.44,760215.8
957.44,760215.8
958.44,760215.8
959.44,760215.8
960.44,760215.8
961.44,760215.8
962.44,760215.8
963.44,760215.8
964.44,760215.8
965.44,760215.8
966.44,760215.8
967.44,760215.8
968.44,760215.8
969.44,760215.8
970.44,760215.8
971.44,760215.8
972.44,760215.8
973.44,760215.8
974.44,760215.8
975.44,760215.8
976.44,760215.8
977.44,760215.8
978.44,760215.8
979.44,760215.8
980.44,760215.8
981.44,760215.8
982.44,760215.8
983.44,760215.8
984.44,760215.8
985.44,760215.8
986.44,760215.8
987.44,760215.8
988.44,760215.8
989.44,760215.8
990.44,760215.8
991.44,760215.8
992.44,760215.8
993.44,760215.8
994.44,760215.8
995.44,760215.8
996.44,760215.8
997.44,760215.8
998.44,760215.8
999.44,760215.8
1000.44,760215.8
1001.44,760215.8
1002.44,760215.8
1003.44,760215.8
1004.44,760215.8
1005.44,760215.8
1006.44,760215.8
1007.44,760215.8
1008.44,760215.8
1009.44,760215.8
1010.44,760215.8
1011.44,760215.8
1012.44,760215.8
1013.44,760215.8
1014.44,760215.8
1015.44,760215.8
1016.44,760215.8
1017.44,760215.8
1018.44,760215.8
1019.44,1095879.11
1020.44,1095879.11
1021.44,1095879.11
1022.44,1095879.11
1023.44,1095879.11
1024.44,1095879.11
1025.44,1095879.11
1026.44,1095879.11
1027.44,1095879.11
1028.44,1095879.11
1029.44,1095879.11
1030.44,1095879.11
1031.44,1095879.11
1032.44,1095879.11
1033.44,1095879.11
1034.44,1095879.11
1035.44,1095879.11
1036.44,1095879.11
1037.44,1095879.11
1038.44,1095879.11
1039.44,1095879.11
1040.44,1095879.11
1041.44,1095879.11
1042.44,1095879.11
1043.44,1095879.11
1044.44,1095879.11
1045.44,1095879.11
1046.44,1095879.11
1047.44,1095879.11
1048.44,1095879.11
1049.44,1095879.11
1050.44,1095879.11
1051.44,1095879.11
1052.44,1095879.11
1053.44,1095879.11
1054.44,1095879.11
1055.44,1095879.11
1056.44,1095879.11
1057.44,1095879.11
1058.44,1095879.11
1059.44,1095879.11
1060.44,1095879.11
1061.44,1095879.11
1062.44,1095879.11
1063.44,1095879.11
